closedprices,olhc4_filter,olhc4_filter2
7273.4,7270.737821130099,7271.052216382382
7274.2,7271.067160624953,7271.902609680309
7274.9,7271.431759171438,7272.712373294577
7272.2,7271.504838020311,7272.57395246625
7270.9,7271.447302850823,7272.121723809115
7272.2,7271.518903108407,7272.142870608324
7272.4,7271.60271738147,7272.21233571074
7271.7,7271.611971382967,7272.07392503592
7271.2,7271.572782637307,7271.837828758757
7271.2,7271.53732171802,7271.665515357468
7270.9,7271.476696539322,7271.458706628365
7270.7,7271.402813341622,7271.253737319724
7272.4,7271.497670644692,7271.563407303237
7271.9,7271.5359421932235,7271.654339911138
7272.4,7271.6181356246725,7271.855784616088
7272.4,7271.692510412368,7272.002807782648
7272.2,7271.740785319794,7272.056080485098
7271.4,7271.708368142839,7271.878836266561
7270.4,7271.58390972534,7271.479319462808
7271.9,7271.6139777880535,7271.592968923144
7272.4,7271.688748089634,7271.81099338173
7272.7,7271.784943348702,7272.051164042051
7272.4,7271.8434505646655,7272.145404243015
7269.7,7271.63955499695,7271.484763096228
7268.2,7271.312367596245,7270.597363941255
7265.4,7270.74995408998,7269.193263787167
7266.4,7270.336165046587,7268.438646223667
7266.4,7269.961737653659,7267.887893282535
7265.4,7269.527802715295,7267.215773457784
7264.2,7269.020995897718,7266.401043524566
7262.7,7268.419711656159,7265.401183625997
7262.2,7267.828062070175,7264.536363984092
7263.2,7267.387818026866,7264.175336952468
7261.2,7266.79920231988,7263.371531192347
7262.2,7266.3617035580655,7263.055034763333
7263.2,7266.060946753804,7263.094198022524
7262.4,7265.7126994795035,7262.90665611447
7261.9,7265.350016739011,7262.634701711927
7261.9,7265.021834165909,7262.436217480577
7262.4,7264.772432395453,7262.426433103221
7262.7,7264.575292425542,7262.500338899748
7260.4,7264.17811805935,7261.932919298945
7260.2,7263.799699889357,7261.464760385663
7259.4,7263.381178780679,7260.90695254145
7259.2,7262.983444475414,7260.445808709007
7259.9,7262.690132060284,7260.298355095775
7258.7,7262.310571059389,7259.866549537875
7253.9,7261.51051614362,7258.254649116778
7254.7,7260.862666326866,7257.294338576856
7253.4,7260.152780774816,7256.242258819187
7252.4,7259.415298108542,7255.204248731565
7253.2,7258.824068360931,7254.662788486597
7253.2,7258.289079296929,7254.267607090288
7254.2,7257.90010594787,7254.24934261488
7254.7,7257.595696119275,7254.3710905068965
7255.7,7257.415368173845,7254.730103661474
7254.9,7257.176093972576,7254.7760022127
7256.9,7257.149830554978,7255.3498134089405
7258.4,7257.2687528258875,7256.173840263883
7261.4,7257.661737390974,7257.585719780828
7262.2,7258.093439267548,7258.832296245354
7263.2,7258.57920045877,7260.012258546287
7263.9,7259.085341099961,7261.0625560501585
7263.9,7259.5433351521515,7261.829109159045
7262.9,7259.862637633891,7262.118416971965
7262.9,7260.151566491969,7262.329566482083
7263.4,7260.460573475953,7262.618750746344
7263.9,7260.787748655684,7262.964888191174
7263.2,7261.01721387659,7263.028405106813
7261.2,7261.034601392317,7262.53445010939
7259.2,7260.860085078022,7261.6336276991615
7260.4,7260.8163195208745,7261.300355513096
7260.4,7260.776717158936,7261.057118878341
7258.9,7260.598194585627,7260.474359813611
7259.4,7260.484216419161,7260.184114836179
7260.4,7260.4762053388595,7260.242437554236
7259.4,7260.373831389974,7260.014847815845
7256.9,7260.043383450057,7259.17335232936
7255.4,7259.6016819616825,7258.153957758002
7254.7,7259.135409847543,7257.220849614136
7255.9,7258.827641738247,7256.864013885928
7256.9,7258.644274968305,7256.873735758186
7254.7,7258.269076119706,7256.286487540145
7254.9,7257.9485930167,7255.9119193184915
7254.7,7257.639570859466,7255.584511786314
7253.2,7257.217257027868,7254.94032111496
7252.9,7256.806578289957,7254.389115691541
7253.2,7256.463502811537,7254.067868700837
7252.7,7256.105499900246,7253.698330474281
7254.4,7255.943264355311,7253.887890855335
7255.4,7255.891586375901,7254.296396533794
7254.4,7255.749699338278,7254.324385653761
7254.2,7255.602284309643,7254.290782096729
7254.2,7255.468892124105,7254.266256749371
7254.2,7255.348188859808,7254.24835707695
7253.7,7255.191405023123,7254.100215006288
7253.7,7255.049535236669,7253.992094436255
7253.2,7254.873598341595,7253.778105203912
7252.7,7254.666834968952,7253.486848386024
7252.7,7254.479739945998,7253.274276406738
7255.2,7254.548254627434,7253.794522597806
7254.9,7254.581714378553,7254.093174185092
7255.4,7254.659553734445,7254.446221296824
7254.9,7254.682426166694,7254.5688124323015
7258.7,7255.064597564106,7255.684878416122
7258.4,7255.381877460568,7256.418385377993
7259.2,7255.745076069213,7257.169855847162
7258.4,7255.9976255009715,7257.502186931549
7260.4,7256.416401031685,7258.285049132834
7261.2,7256.871440510294,7259.0725412168995
7261.7,7257.330756854992,7259.782365528591
7261.9,7257.765405752634,7260.354457635515
7261.9,7258.158708707803,7260.771995505991
7261.9,7258.51459875005,7261.076732927067
7262.4,7258.884197240784,7261.434221746785
7261.9,7259.171075242938,7261.560054635245
7262.7,7259.5067639351,7261.868017956728
7263.2,7259.8580827276,7262.227861179819
7260.9,7259.957195026839,7261.869131233588
7260.9,7260.046879276347,7261.607314410715
7261.4,7260.175594779604,7261.55130713485
7259.9,7260.149378847698,7261.105196254662
7260.4,7260.173219165255,7260.914683105876
7258.9,7260.052104291507,7260.370403949871
7259.7,7260.018610398251,7260.18929015835
7259.9,7260.007327593373,7260.111136625038
7259.9,7259.997118064428,7260.05409675423
7260.4,7260.0354421771135,7260.147544664781
7259.4,7259.974995789597,7259.945590829939
7258.4,7259.825174438005,7259.528039866219
7258.4,7259.689604830793,7259.223292889121
7258.4,7259.566931271888,7259.000875200935
7257.9,7259.408364564716,7258.703466926907
7258.9,7259.360006425164,7258.756561557441
7258.9,7259.316248349864,7258.795312343719
7259.9,7259.371777680034,7259.093750576241
7258.9,7259.326899865033,7259.041407654516
7258.7,7259.267266064287,7258.949174255868
7257.9,7259.137204986606,7258.665733313309
7256.2,7258.857803591438,7257.9996001418995
7257.9,7258.766692599537,7257.972692544862
7257.4,7258.636686072646,7257.817976096375
7257.2,7258.500021422086,7257.651026015151
7257.2,7258.376356985747,7257.529178535442
7256.9,7258.235918642675,7257.359202045716
7257.7,7258.184939423607,7257.451270730059
7256.9,7258.062709661197,7257.3023415179105
7257.7,7258.028206932977,7257.40977142705
7257.7,7257.996986274086,7257.488178478895
7256.7,7257.873610555965,7257.275247166758
7255.7,7257.66684602143,7256.849684359425
7256.2,7257.527312408095,7256.67416809397
7257.4,7257.515201825208,7256.870256092159
7257.2,7257.48521827618,7256.959338457189
7255.9,7257.3344245113485,7256.673151592505
7255.9,7257.197974991631,7256.464279887071
7254.9,7256.979380299857,7256.041679958473
7255.4,7256.829141872068,7255.868326131657
7256.7,7256.816857261564,7256.0930079934415
7257.4,7256.8723286690565,7256.44610000288
7256.4,7256.827398441267,7256.433645800735
7255.9,7256.739179736905,7256.2894780727265
7256.7,7256.735452767489,7256.400383121489
7256.9,7256.7511053101425,7256.535357724774
7256.9,7256.765268905897,7256.633868100537
7256.7,7256.7590602063165,7256.65173404398
7256.9,7256.772467093193,7256.718804634194
7257.9,7256.879723572974,7257.037911899701
7257.7,7256.957752304091,7257.216779112803
7257.9,7257.047383542643,7257.40135547956
7257.7,7257.109463632227,7257.482036151899
7260.2,7257.403450663064,7258.2163109691055
7258.2,7257.479222356587,7258.21190445948
7257.4,7257.471686336098,7257.992563426305
7256.9,7257.417304717984,7257.697400629825
7256.7,7257.3490711626555,7257.427946653953
7257.2,7257.334890779939,7257.366365449412
7258.4,7257.43620921139,7257.645608244058
7257.4,7257.432764812982,7257.579255651239
7258.9,7257.572335445662,7257.936062941351
7258.9,7257.698629432799,7258.196476525599
7259.4,7257.86047217525,7258.5216158683415
